P1,P2,P3,X,Y
1.79,0.86,0.0,-0.4489196078329116,-3.3580114949619757
0.5,0.36,0.0,-0.5485030588970713,0.22520515484562265
0.0,1.61,1.47,-0.5885062613118693,3.5597897342334988
0.0,0.43,0.74,-1.089661007452176,1.4256744133684442
1.1,0.0,1.6,-4.099127803994486,1.2549307918352943
0.0,0.0,0.34,-1.0962312385145638,1.118837148430976
0.0,0.66,1.68,-3.6870998783680355,2.9040071154167904
0.78,0.64,0.0,-0.4897840740287593,0.42315953080831376
0.0,0.63,1.11,-1.788930511571656,1.8968578692581013
0.39,0.51,0.0,-0.47125034804386967,0.6648200893943399
0.14,1.7,0.0,2.300473423046867,1.1945368587688454
0.0,0.19,1.28,-2.3953038246996265,2.052147333024733
0.0,1.1,1.23,-1.6801908559911516,2.825049451055792
0.5,0.0,1.23,-2.698567219473436,1.7791810053687147
0.0,0.0,1.49,-3.433273353006656,2.255852555474971
0.0,1.51,1.79,-3.147761865394496,4.046676125058758
0.0,0.85,0.0,-0.05895733523374114,1.3484643371423946
0.76,0.7,0.0,-0.0381246858155337,0.09727418427579343
0.0,0.82,1.01,-0.9361061525417544,2.2259975776483425
1.79,0.0,1.77,-4.437979301774029,-0.6625687606184105
0.28,0.93,0.0,0.07242192890851007,0.9845558408956727
0.56,0.22,0.0,-0.5133376425893419,0.422511763880534
0.0,1.34,0.33,0.7545575110727925,1.4949838484535427
0.0,0.17,0.25,-0.4172496357304859,0.8549410989149221
0.24,1.47,0.0,1.5312175895246467,0.7233128891977655
0.0,0.0,0.2,-0.29487672289288697,1.0783864719826086
0.0,0.45,1.62,-3.5081758832403556,2.940738307506906
0.0,1.52,0.07,1.558297432315166,1.425179170393737
0.29,1.05,0.0,1.0266743633212774,1.1887285900973152
1.08,1.7,0.0,2.8208478455958983,-0.6219311187221777
0.58,0.0,1.42,-2.956399782373102,1.825687403591176
0.0,0.38,1.79,-4.5978763457356635,2.8582992903528366
0.0,0.0,0.05,-0.6795523951824729,1.0780274870437576
1.45,0.49,0.0,-0.5118461322754588,-1.6419303452190999
0.0,0.98,0.85,-0.3444986392353291,1.591212408579072
1.26,1.16,0.0,1.074349213564063,-1.0822406076353261
0.0,0.0,1.55,-3.5743226011473372,2.3283308361371162
0.18,0.65,0.0,-0.32998498390646297,0.9984482774179635
1.5,0.05,0.0,-1.2250431439848894,-2.054133861492488
0.0,0.0,1.41,-3.364293525810237,1.7880533135571708
0.72,0.0,0.0,-1.0577956833914621,0.29128139812694454
0.0,0.26,1.79,-4.877515324626373,2.985958231088626
0.0,0.29,0.32,-1.0871115248951049,1.1719288810290578
1.51,1.13,0.0,0.5300047984690083,-1.9335040772165117
0.0,1.7,1.66,-0.8000265174041188,3.4993441693489786
0.51,0.0,1.42,-3.4860280867096973,2.1980606019965663
0.21,0.0,0.0,-0.7045233713077341,1.0593757465257607
0.0,0.0,0.38,-0.7987221050363139,0.7848475786696585
0.0,0.69,0.02,-0.28520398480184256,0.6169265455063215
1.38,0.75,0.0,-0.05300597881610761,-1.6322167380426476
0.36,1.57,0.0,1.9697478711327467,0.4300546549130338
0.0,1.31,0.75,0.8742662072123963,1.5011746425614672
0.0,1.09,1.17,-0.5691828089701818,2.580091870779596
0.0,1.6,1.36,-0.0733871603447782,3.2691601190994892
0.0,1.8,1.07,1.2646799995197968,2.710747923573843
0.04,1.18,0.0,1.1195158112027352,1.49677494101711
0.2,0.0,0.0,-0.33795736955017375,0.601532131606879
0.69,0.0,0.0,-0.2991630385423683,0.4299453797935249
0.0,0.59,0.06,-0.16848308990715577,0.7078733823029097
0.0,0.0,1.37,-2.8081091894642682,2.37562070368148
1.13,0.0,0.82,-1.9352854872448866,0.5762090997800067
0.0,1.29,0.0,0.9193998148826833,1.2267434845634817
0.0,0.0,0.96,-1.549047151839029,1.7896881365061241
1.54,1.48,0.0,1.7118748504108088,-2.873684308804077
0.9,0.0,0.0,-0.49742291203326394,-0.6357510533957866
1.0,1.17,0.0,0.7180540921027815,-0.8119935370037695
0.0,0.21,0.0,-0.24376128215114284,0.8462503451989691
0.0,1.35,1.37,-0.8495178258571937,3.1453159948559346
0.23,0.0,0.04,-0.42523572832094514,0.5102928604439589
0.49,0.0,0.76,-1.2519028946614226,1.0142675755524022
0.0,0.0,1.5,-3.418623754828838,2.528324996009854
1.25,0.0,0.01,-1.0508577396512573,-0.9614857743627271
0.0,1.33,0.72,0.44038269355409154,1.8429494491899023
0.0,0.64,0.49,-0.3699344431411266,1.2712359000209719
0.49,1.57,0.0,1.900513530920153,0.6268799207871213
0.68,0.0,1.29,-2.5815662538933144,1.528927110460402
0.0,0.52,0.0,-0.2745916463181488,0.8574668965201069
0.0,0.0,0.37,-0.551086943495385,0.8338248159487904
0.0,1.51,0.84,0.642120935225017,2.4358297952491252
0.68,0.0,0.29,-0.4418231838642536,0.2080353010050306
1.09,0.93,0.0,0.453257037730856,-0.8592712247472849
0.0,0.09,0.63,-0.892199598341263,0.543324890475144
1.37,0.0,0.48,-1.4041604536758667,-1.3458134045044252
1.7,0.28,0.0,-1.2788562864460766,-3.4555201102875683
1.14,0.0,0.4,-1.4695021249068696,-1.9292367134921902
0.81,0.0,1.13,-2.5188700260589933,0.3969336902037587
1.03,0.08,0.0,-1.2002478632834328,-0.686155636151499
0.0,1.33,1.67,-2.611028749275207,3.160824593817374
0.0,1.57,0.0,1.58229788106864,1.4712329572666327
0.69,0.38,0.0,-0.1898638288297223,0.13202544172012712
0.95,0.0,0.82,-1.4499232561025035,-0.0030013008772009145
0.0,1.05,1.66,-2.9651909619599484,3.166639541267558
0.0,1.05,1.57,-2.999520729778443,2.9493191920028123
0.69,0.0,0.78,-1.959908587681865,0.749117268003113
1.47,0.03,0.0,-1.4100761560865291,-2.030641427051564
0.0,0.0,0.84,-1.8369820788298414,1.1932883245844528
0.68,0.0,1.07,-2.4710740955402897,1.3114534169202634
0.0,0.05,1.75,-4.8732043273874925,2.9952271476932184
0.08,0.0,0.4,-1.2699629701413742,1.1246080457389969
1.7,0.74,0.0,-0.48663128261847555,-3.110092183668706
0.0,1.64,0.28,2.0122923100379984,1.1101390370288196
1.6,1.46,0.0,1.7486678374633118,-2.163720970508707
0.78,0.0,1.74,-4.27899097513131,1.551468972640726
1.33,1.12,0.0,0.2662434838075006,-1.5671672797855452
0.12,0.24,0.0,-0.40194800869171377,0.47630127897518615
1.73,1.34,0.0,0.8527429961432309,-3.420110994513645
0.0,0.72,0.0,0.053658262987282726,0.2485509962093358
1.08,0.16,0.0,-0.4674742262755605,-0.839888395881
1.35,0.0,0.0,-1.0284610215271972,-1.8533642294495225
0.51,0.0,0.0,-0.46543389315147904,-0.33406212023851234
0.05,0.5,0.0,-0.12420810999883079,0.4976715466379801
1.31,0.77,0.0,-0.06412338714749292,-1.6308122169382364
1.66,0.0,0.75,-1.8069597579173786,-2.8829927102778203
0.0,1.52,1.63,-2.081583388962869,3.17791003067134
0.0,0.0,1.76,-4.682140515842677,2.5006677122895162
0.0,0.24,1.33,-3.8022279871638003,2.247627055724311
0.68,0.07,0.0,-0.9126763524382807,0.3412033626505593
1.23,0.0,1.54,-3.9250554485038314,0.7732270862806345
0.72,0.52,0.0,-0.8003666988773435,-0.023930695125739705
1.29,0.24,0.0,-0.9015845117689576,-1.5241489904234975
1.52,0.0,0.36,-1.5012523604064074,-2.6855225780249405
0.0,0.7,0.61,-0.7217586480005334,0.660006792378497
0.31,0.94,0.0,0.16014138799583694,0.3330050798429493
0.0,0.39,0.39,-0.487321743062086,0.7190284746817381
0.85,0.0,0.67,-1.355996059176601,0.281906007779553
0.0,0.0,0.67,-1.3952165800540075,0.9108731110610165
1.73,0.0,0.24,-1.4510313657587353,-3.332895445177472
0.0,0.8,0.3,-0.19474780835361577,0.23417709435476747
0.52,1.72,0.0,2.5046607185819947,0.3291152521190867
0.0,0.28,0.0,-0.2765565261132916,0.6890630111860326
1.37,0.0,1.53,-3.8099509602697923,0.24473546113145958
1.23,1.69,0.0,1.7097877644438717,-1.4507814026150967
0.0,0.09,0.96,-1.889158924801158,1.2190299285430886
0.0,0.0,1.2,-2.5916935706234856,1.7594455419705117
0.0,1.36,0.18,0.9290545509540514,1.3348135527211358
0.0,0.16,0.87,-1.2049825211092722,1.680014851847973
1.61,1.54,0.0,1.619362875350436,-2.6991301632473275
0.0,0.86,1.75,-3.5689792136047815,2.9875787295028515
0.0,1.26,0.0,0.7435544220855879,1.2623967793448305
1.29,0.0,0.0,-0.7581040428403147,-1.5047249719955662
1.43,0.18,0.0,-1.4402232518884148,-2.077380452618889
1.79,0.35,0.0,-1.2075515983951937,-4.148223194019722
0.0,1.13,1.75,-3.4275554612148373,2.8385890322342546
1.2,0.0,0.93,-2.342754064460572,-0.032607947926592724
1.36,1.66,0.0,1.5008022412183475,-1.9861160419350123
0.02,1.71,0.0,2.3104224700652094,0.6110387447208026
0.0,1.19,1.29,-0.714782933568404,2.8077909535761547
0.92,0.0,0.0,-0.5676992438920065,-0.6003879331690093
1.59,0.31,0.0,-1.0144402564384258,-3.082950690213821
0.1,0.4,0.0,-0.28810961487685066,0.49865592784637314
0.0,1.29,0.13,1.1803257122276687,1.2907283244392678
0.74,0.0,1.06,-1.942291261064482,0.8868724215134456
0.0,0.78,0.0,0.028809636324051605,0.6979954340227377
1.41,1.47,0.0,1.7076018477571002,-2.0176656322990874
0.07,0.1,0.0,-0.4441840184558671,0.9210744962640065
1.46,1.56,0.0,1.7319557028639805,-2.306248511121023
0.45,0.0,1.69,-4.114391354930096,2.08653622449524
0.0,0.0,0.87,-2.1394172222813097,1.6104798322038325
