P4,P5,P6,X,Y
1.39,0.0,0.34,-0.11369212264151728,-0.66338438540474
1.65,1.76,0.0,0.2001275875417052,-0.43088355261057804
0.0,1.4,0.0,-0.21180040963754262,-0.0123386872572014
0.0,0.6,0.27,-0.2308716444006222,-0.5581772084067139
0.0,0.02,0.0,-0.38651911365779357,-0.6805109673002192
1.09,0.77,0.0,0.0433303351003418,-0.41061443480794724
0.46,0.0,1.2,-0.21899415360840102,-0.7143629837713389
0.65,1.02,0.0,-0.02237969512688637,-0.2907405393389303
0.0,0.89,0.0,-0.3219279452431718,-0.5963120642038391
1.34,0.92,0.0,0.04898962414318301,-0.6079607268044941
0.0,1.66,0.01,-0.20209662521444952,-0.2119914149802837
1.61,1.47,0.0,0.0123736929619024,-0.5127047042605697
0.75,0.63,0.0,-0.2267279845223347,-0.3708646222767059
1.6,1.04,0.0,0.2539862287557291,-0.5968700744708934
0.0,0.46,1.62,-0.216425327938717,-0.7183402537226913
0.0,0.62,0.14,-0.19160673821812324,-0.4976320291250204
0.12,0.74,0.0,-0.09863770394775212,-0.34068195283761404
0.24,1.01,0.0,-0.11978421525869246,-0.2365071582346934
0.22,0.0,0.0,-0.3533978011605177,-0.5442202090783498
1.2,0.26,0.0,-0.12054305660460565,-0.3082714217734084
0.0,1.59,0.33,-0.19510707497329843,-0.5153339489683758
0.22,0.0,0.0,-0.2575517406928598,-0.4593827625997566
0.0,0.69,0.63,-0.4691056647068746,-0.4511432463833187
1.66,0.01,0.0,0.10609341741528869,-0.8222294207851792
0.09,0.0,1.46,-0.403950676748151,-0.7660608431980789
0.77,0.05,0.0,-0.03164983224748423,-0.7211282538468987
0.45,1.13,0.0,-0.14324541904781124,-0.1618906545037495
0.0,1.78,0.0,-0.15492705533260803,-0.25789396299739503
0.0,1.13,0.0,-0.0785342452100608,-0.2277794957415442
0.17,0.0,0.54,-0.19363848929745375,-0.5091148341689468
1.05,0.0,1.02,-0.10207898954119522,-0.7865608301264957
0.0,1.07,1.11,-0.1599399428220825,-0.5638976113993895
1.51,0.0,0.71,0.1853007645169514,-1.0259065435940111
0.03,0.0,0.16,-0.3364477192737189,-1.0055375444131143
1.46,0.0,0.26,0.054198665123208575,-0.9280830449706712
1.34,0.0,0.0,0.09864780879531693,-0.8034717373062157
0.51,1.11,0.0,-0.09721531332600229,-0.28605871204698974
