time,pressure,0A_pos_x,0A_pos_y,0A_pos_z,0A_orient_x,0A_orient_y,0A_orient_z,0A_orient_w,0B_pos_x,0B_pos_y,0B_pos_z,0B_orient_x,0B_orient_y,0B_orient_z,0B_orient_w,0C_pos_x,0C_pos_y,0C_pos_z,0C_orient_x,0C_orient_y,0C_orient_z,0C_orient_w,flow_ch3,flow_ch4,flow_ch5
1746523722,[0.4  0.99 0.   0.   0.66 0.03],126.9348297,-78.39987183,-144.7317657,-0.689747572,0.005931203,0,0.724025607,101.2179413,-32.4445343,-146.8579559,-0.720763564,-0.060385674,0,0.690545797,97.17523193,-12.44145107,-142.6931915,-0.671314895,-0.131738514,0,0.729370475,0,0,0
1746523722,[0.4  0.99 0.   0.   0.66 0.03],126.9592819,-78.39067841,-144.7567291,-0.689727545,0.005891068,0,0.724045098,101.3521118,-32.36794662,-146.9411316,-0.721318185,-0.058772936,0,0.690105617,97.40779877,-12.32232475,-142.8197327,-0.672458947,-0.131105751,0,0.728429973,0,0,0
1746523722,[0.4  0.99 0.   0.   0.66 0.03],126.9654083,-78.38893127,-144.7576904,-0.689726412,0.005893853,0,0.724046111,101.3904572,-32.41604996,-146.9105988,-0.721632361,-0.058292404,0,0.689817905,97.36780548,-12.38169765,-142.8461456,-0.673468888,-0.130294412,0,0.727642059,0,0,0
1746523722,[0.4  0.99 0.   0.   0.66 0.03],126.9413605,-78.39347076,-144.7345886,-0.68974036,0.005925385,0,0.724032581,101.3870087,-32.41002274,-146.8991699,-0.721996605,-0.057531487,0,0.68950057,97.41746521,-12.41892815,-142.951828,-0.6741485,-0.129862472,0,0.727089763,0,0,0
1746523723,[0.4  0.99 0.   0.   0.66 0.03],126.9376526,-78.39559937,-144.73703,-0.689759493,0.005936239,0,0.724014282,101.4090958,-32.40254211,-146.9425507,-0.722409725,-0.056856755,0,0.689123631,97.46676636,-12.35894203,-142.9577332,-0.674283445,-0.129910395,0,0.726956129,0,0,0
1746523723,[0.4  0.99 0.   0.   0.66 0.03],126.9521332,-78.39217377,-144.7465973,-0.68974936,0.005936892,0,0.724023879,101.4484634,-32.38420486,-146.9855194,-0.722599268,-0.056614775,0,0.688944876,97.48871613,-12.36310768,-143.0021362,-0.674735844,-0.12968275,0,0.726576865,0,0,0
1746523723,[0.4  0.99 0.   0.   0.66 0.03],126.9428635,-78.39817047,-144.7419739,-0.689772069,0.005919901,0,0.724002481,101.4705658,-32.38381958,-147.0101929,-0.7228266,-0.056339819,0,0.688728988,97.49480438,-12.37727547,-143.056015,-0.675174296,-0.12950857,0,0.726200521,0,0,0
1746523723,[0.4  0.99 0.   0.   0.66 0.03],126.9385376,-78.39672089,-144.7415771,-0.689768732,0.005939197,0,0.724005461,101.4658508,-32.39627075,-147.0101166,-0.723001063,-0.056054018,0,0.688569009,97.4882431,-12.39474297,-143.0921936,-0.675525129,-0.129378825,0,0.725897312,0,0,0
1746523723,[0.4  0.99 0.   0.   0.66 0.03],126.9290085,-78.39867401,-144.730011,-0.689769506,0.005964613,0,0.724004507,101.4465485,-32.42985535,-147.0096588,-0.72318846,-0.055759538,0,0.688396156,97.49381256,-12.40347004,-143.1287079,-0.675872862,-0.129312381,0,0.725585401,0,0,0
1746523723,[0.4  0.99 0.   0.   0.66 0.03],126.9548187,-78.38808441,-144.7670593,-0.689752698,0.005909292,0,0.724020958,101.4839935,-32.39844513,-147.0453644,-0.723270357,-0.055745643,0,0.688311279,97.51673889,-12.39877224,-143.1627502,-0.676122427,-0.129298389,0,0.725355327,0,0,0
1746523723,[0.4  0.99 0.   0.   0.66 0.03],126.9530487,-78.39149475,-144.7519073,-0.68975544,0.005942701,0,0.724018037,101.4752426,-32.41196442,-147.041626,-0.723347187,-0.055582765,0,0.688243687,97.52588654,-12.39643955,-143.1745453,-0.676298678,-0.129292056,0,0.72519213,0,0,0
1746523723,[0.4  0.99 0.   0.   0.66 0.03],126.9334641,-78.39807892,-144.7241058,-0.68976301,0.005966695,0,0.724010646,101.4553909,-32.42152023,-147.0240631,-0.72342205,-0.055457361,0,0.688175201,97.52498627,-12.39883041,-143.1880341,-0.676489949,-0.129320771,0,0.725008607,0,0,0
1746523723,[0.4  0.99 0.   0.   0.66 0.03],126.9497528,-78.39624023,-144.7479553,-0.689770818,0.005923508,0,0.724003613,101.4685593,-32.41565323,-147.0455322,-0.723507524,-0.055414464,0,0.688088715,97.52633667,-12.40757179,-143.2168884,-0.676670611,-0.129291773,0,0.724845171,0,0,0
1746523724,[0.4  0.99 0.   0.   0.66 0.03],126.934227,-78.40059662,-144.7206879,-0.689770937,0.005984609,0,0.724003017,101.4902725,-32.43265152,-147.0641327,-0.723596275,-0.055290073,0,0.688005388,97.50987244,-12.42989063,-143.2311554,-0.676816642,-0.129206598,0,0.724724054,0,0,0
1746523724,[0.4  0.99 0.   0.   0.66 0.03],126.945961,-78.39800262,-144.7260132,-0.689766526,0.00597314,0,0.724007308,101.4823227,-32.44003296,-147.0605774,-0.723642349,-0.055152599,0,0.687967896,97.51338959,-12.43330193,-143.2497406,-0.676958799,-0.129213333,0,0.724589944,0,0,0
1746523724,[0.4  0.99 0.   0.   0.66 0.03],126.9314346,-78.3967514,-144.7262726,-0.689765632,0.005953725,0,0.724008322,101.4676285,-32.42977142,-147.0426941,-0.723674059,-0.055095751,0,0.687939048,97.51516724,-12.43165016,-143.2581635,-0.677072704,-0.129254133,0,0.724476397,0,0,0
1746523724,[0.4  0.99 0.   0.   0.66 0.03],126.9252853,-78.3997345,-144.7245026,-0.689775467,0.005953152,0,0.723998845,101.4406204,-32.42163086,-147.0068817,-0.723686516,-0.055007841,0,0.687933087,97.50857544,-12.43474293,-143.2662506,-0.677194655,-0.129239693,0,0.724364877,0,0,0
1746523724,[0.4  0.99 0.   0.   0.66 0.03],126.9528046,-78.3968811,-144.7518616,-0.689777851,0.005904984,0,0.723996937,101.5041809,-32.40901184,-147.068985,-0.723761916,-0.055033799,0,0.687851727,97.51702118,-12.42090893,-143.2765045,-0.677277148,-0.129288167,0,0.724279106,0,0,0
1746523724,[0.4  0.99 0.   0.   0.66 0.03],126.9495621,-78.40209198,-144.7486877,-0.689799726,0.005902539,0,0.723976195,101.5176926,-32.43781662,-147.1096497,-0.723857462,-0.054973107,0,0.687755942,97.51808167,-12.44352818,-143.3179016,-0.677402616,-0.129253432,0,0.724167943,0,0,0
1746523724,[0.4  0.99 0.   0.   0.66 0.03],126.9565659,-78.39382935,-144.7681427,-0.689784586,0.005887114,0,0.723990679,101.4773483,-32.39749908,-147.0657349,-0.723757505,-0.055048387,0,0.687855244,97.52728271,-12.43814945,-143.3270111,-0.677483141,-0.12927416,0,0.724088967,0,0,0
1746523724,[0.4  0.99 0.   0.   0.66 0.03],126.9353333,-78.39326477,-144.7429199,-0.689767599,0.005948397,0,0.724006414,101.4928436,-32.42079163,-147.0858307,-0.723832965,-0.054901727,0,0.687787473,97.52361298,-12.43103409,-143.3132172,-0.677545607,-0.129319057,0,0.724022448,0,0,0
1746523725,[0.4  0.99 0.   0.   0.66 0.03],126.9572678,-78.39110565,-144.7669373,-0.689777434,0.005892152,0,0.723997474,101.4925995,-32.40879822,-147.0790863,-0.723843873,-0.054837808,0,0.687781155,97.52700806,-12.43343925,-143.3399811,-0.677632272,-0.129356951,0,0.72393465,0,0,0
1746523725,[0.4  0.99 0.   0.   0.66 0.03],126.9512863,-78.395401,-144.7458801,-0.689783037,0.005932083,0,0.723991752,101.454216,-32.39707565,-147.040451,-0.723828077,-0.054877236,0,0.687794566,97.51597595,-12.44407177,-143.3466492,-0.677725673,-0.12933147,0,0.72385174,0,0,0
1746523725,[0.4  0.99 0.   0.   0.66 0.03],126.9195709,-78.40341949,-144.7107086,-0.689784169,0.005986615,0,0.723990262,101.4609375,-32.435112,-147.0616302,-0.723943889,-0.054727439,0,0.687684536,97.51213837,-12.44637489,-143.3506622,-0.677778244,-0.129343018,0,0.723800361,0,0,0
1746523725,[0.4  0.99 0.   0.   0.66 0.03],126.9128265,-78.40065765,-144.7136383,-0.689777911,0.005974061,0,0.723996341,101.4611435,-32.42074585,-147.0551453,-0.723939478,-0.0547521,0,0.687687337,97.50623322,-12.45243263,-143.3502502,-0.677848101,-0.129336014,0,0.723736227,0,0,0
1746523725,[0.4  0.99 0.   0.   0.66 0.03],126.9177322,-78.39690399,-144.7193756,-0.689770877,0.006010018,0,0.724002779,101.4657059,-32.4105835,-147.0475922,-0.723952353,-0.054705858,0,0.687677443,97.50374603,-12.46230412,-143.3585205,-0.677939415,-0.129301682,0,0.723656833,0,0,0
1746523725,[0.4  0.99 0.   0.   0.66 0.03],126.9510269,-78.3891449,-144.7617645,-0.689769626,0.005949812,0,0.724004507,101.4743805,-32.39245224,-147.0412903,-0.723951042,-0.054678336,0,0.68768096,97.51208496,-12.4579649,-143.3716431,-0.677990973,-0.129326254,0,0.723604083,0,0,0
1746523725,[0.   1.03 0.28 0.   1.57 0.14],126.9792862,-78.38195038,-144.7822418,-0.689753354,0.005885861,0,0.724020481,101.4363251,-32.44065475,-147.254303,-0.725714922,-0.059677765,0,0.685402393,96.1905365,-12.73154831,-143.6336975,-0.675811946,-0.155839652,0,0.720411122,0,0,0
1746523725,[0.   1.03 0.28 0.   1.57 0.14],126.9381256,-78.39722443,-144.7322388,-0.68978548,0.005935805,0,0.723989487,100.4718628,-32.47019577,-147.9203491,-0.734274983,-0.088147528,0,0.673104942,93.1254425,-13.62669277,-145.651123,-0.679588139,-0.210653439,0,0.70269841,0,0,0
1746523726,[0.   1.03 0.28 0.   1.57 0.14],126.9365005,-78.39500427,-144.7433929,-0.689806879,0.005876613,0,0.723969638,99.91748047,-32.49375153,-148.5185547,-0.73847276,-0.11141891,0,0.665014148,91.2588501,-14.23397064,-146.7568512,-0.678810477,-0.246061593,0,0.691859841,0,0,0
1746523726,[0.   1.03 0.28 0.   1.57 0.14],126.9513016,-78.38391113,-144.7691193,-0.689784348,0.005759731,0,0.72399199,99.85353088,-32.52779388,-148.5785217,-0.73909384,-0.114455722,0,0.663807333,90.96392822,-14.34902954,-146.9221497,-0.678181708,-0.25255087,0,0.690136015,0,0,0
1746523726,[0.   1.03 0.28 0.   1.57 0.14],126.9307556,-78.39629364,-144.7262726,-0.689790606,0.005757809,0,0.72398603,99.63167572,-32.60684204,-148.5680237,-0.739076912,-0.116205499,0,0.663522124,90.67185974,-14.48025227,-147.0014191,-0.677454114,-0.256575286,0,0.689365566,0,0,0
1746523726,[0.   1.03 0.28 0.   1.57 0.14],126.9423523,-78.3964386,-144.7299194,-0.689789295,0.005748834,0,0.723987341,99.70868683,-32.51252747,-148.556839,-0.739132106,-0.116292007,0,0.663445413,90.60453796,-14.51325321,-147.0903168,-0.677130401,-0.259676546,0,0.688521922,0,0,0
1746523726,[0.   1.03 0.28 0.   1.57 0.14],126.9456863,-78.38831329,-144.7533417,-0.68976897,0.005719637,0,0.72400707,99.63204193,-32.50265503,-148.4972382,-0.739188313,-0.117052525,0,0.663249075,90.59681702,-14.46937656,-147.0930939,-0.676432312,-0.261684746,0,0.688447952,0,0,0
1746523726,[0.   1.03 0.28 0.   1.57 0.14],126.9411545,-78.38925171,-144.7510071,-0.689772189,0.005700751,0,0.72400409,99.6702652,-32.51391983,-148.5451202,-0.739445508,-0.117722422,0,0.662843645,90.49015045,-14.54828072,-147.0992584,-0.676466763,-0.261708647,0,0.688404858,0,0,0
1746523726,[0.   1.03 0.28 0.   1.57 0.14],126.9319153,-78.39232635,-144.7327118,-0.689770401,0.00573881,0,0.72400552,99.70139313,-32.54518127,-148.6134796,-0.739816546,-0.117997162,0,0.662380636,90.42701721,-14.60000038,-147.152359,-0.676424742,-0.263041139,0,0.687938213,0,0,0
1746523726,[0.   1.03 0.28 0.   1.57 0.14],126.9458771,-78.38470459,-144.7594299,-0.689764619,0.005706116,0,0.724011302,99.71194458,-32.52392578,-148.626709,-0.740115643,-0.11818476,0,0.662012994,90.43058014,-14.61798477,-147.2198486,-0.676635206,-0.264210761,0,0.687282681,0,0,0
